PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1
-18.837045669555664,-1250.93310546875,-375.3402404785156,-75.05684661865234,-500.2550354003906,-374.97314453125,-374.7851867675781,-374.8552551269531
3.2252917289733887,-1249.7021484375,-375.0940246582031,-75.00763702392578,-499.9679260253906,-374.97314453125,-375.2776794433594,-375.2857971191406
-0.005594437476247549,-1249.7021484375,-374.7247009277344,-75.00148010253906,-500.4600830078125,-375.0039367675781,-375.0929870605469,-375.0705261230469
-11.606014251708984,-1249.086669921875,-374.7862548828125,-75.04454040527344,-500.4190673828125,-374.97314453125,-375.123779296875,-374.9167785644531
11.502513885498047,-1250.83056640625,-375.0940246582031,-74.99533081054688,-499.68084716796875,-374.69622802734375,-375.00067138671875,-375.3165283203125
24.733762741088867,-1250.93310546875,-375.15557861328125,-75.01378631591797,-499.9269104003906,-374.880859375,-374.8775329589844,-374.947509765625
6.548488616943359,-1249.8046875,-375.0632629394531,-75.00763702392578,-499.8858947753906,-374.880859375,-374.9083251953125,-375.16278076171875
-13.082990646362305,-1251.1383056640625,-375.3402404785156,-75.03839111328125,-500.1319885253906,-374.91162109375,-374.7236328125,-374.8552551269531
-14.190722465515137,-1248.881591796875,-374.9401550292969,-75.02608489990234,-500.3780517578125,-374.9423828125,-375.03143310546875,-374.947509765625
24.733762741088867,-1251.3433837890625,-375.0632629394531,-75.00148010253906,-499.9269104003906,-374.880859375,-375.00067138671875,-375.1012878417969
25.379940032958984,-1251.2408447265625,-375.0632629394531,-75.00148010253906,-500.0089416503906,-374.91162109375,-374.8775329589844,-374.9167785644531
28.241580963134766,-1250.6253662109375,-375.0940246582031,-75.01378631591797,-499.9679260253906,-375.0346984863281,-374.84674072265625,-374.82452392578125
7.810072898864746,-1250.317626953125,-375.12481689453125,-75.01378631591797,-500.0499572753906,-375.0346984863281,-374.9390869140625,-374.947509765625
1.1944489479064941,-1249.599609375,-375.001708984375,-75.03224182128906,-500.3370361328125,-374.9423828125,-374.5081481933594,-374.7015075683594
8.825493812561035,-1249.8046875,-375.032470703125,-75.01378631591797,-500.1730041503906,-375.18853759765625,-375.2469177246094,-375.0705261230469
-16.09848403930664,-1248.984130859375,-374.6323547363281,-74.9645767211914,-500.0499572753906,-375.3424072265625,-375.4931640625,-375.0397644042969
4.794579029083252,-1249.8046875,-374.9401550292969,-75.04454040527344,-500.2140197753906,-374.69622802734375,-374.44659423828125,-374.79376220703125
7.040814399719238,-1250.420166015625,-375.0632629394531,-74.99533081054688,-499.8858947753906,-374.8193054199219,-374.9083251953125,-375.13201904296875
28.6415958404541,-1250.83056640625,-375.2479248046875,-75.05684661865234,-500.4600830078125,-375.4346923828125,-375.58551025390625,-375.4395446777344
12.302542686462402,-1250.1124267578125,-375.12481689453125,-75.02608489990234,-500.2550354003906,-375.3424072265625,-375.4931640625,-375.2857971191406
8.702412605285645,-1249.599609375,-374.9401550292969,-74.97687530517578,-499.8448791503906,-374.7577819824219,-374.81597900390625,-374.978271484375
17.99505615234375,-1249.3944091796875,-374.8170166015625,-75.02608489990234,-500.0909729003906,-374.8193054199219,-374.8775329589844,-375.4087829589844
2.363722085952759,-1250.1124267578125,-374.8785705566406,-74.98918151855469,-500.1730041503906,-375.4346923828125,-374.75439453125,-374.6400146484375
-10.898296356201172,-1250.7279052734375,-375.2479248046875,-75.06914520263672,-500.4600830078125,-375.4346923828125,-375.3392639160156,-375.13201904296875
