TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07
2297.30126953125,21.86880874633789,2297.30126953125,2297.30126953125,2297.30126953125,2297.30126953125,2297.30126953125,24.6839542388916,2297.30126953125,2297.30126953125,2297.30126953125,2297.30126953125,2297.30126953125,2297.30126953125
2297.407958984375,21.971946716308594,2297.407958984375,2297.407958984375,2297.407958984375,2297.407958984375,2297.407958984375,24.696163177490234,2297.407958984375,2297.407958984375,2297.407958984375,2297.407958984375,2297.407958984375,2297.407958984375
2297.417236328125,21.953580856323242,2297.417236328125,2297.417236328125,2297.417236328125,2297.417236328125,2297.417236328125,24.69814682006836,2297.417236328125,2297.417236328125,2297.417236328125,2297.417236328125,2297.417236328125,2297.417236328125
2297.29638671875,21.823959350585938,2297.29638671875,2297.29638671875,2297.29638671875,2297.29638671875,2297.29638671875,24.65167808532715,2297.29638671875,2297.29638671875,2297.29638671875,2297.29638671875,2297.29638671875,2297.29638671875
2297.24169921875,21.824234008789062,2297.24169921875,2297.24169921875,2297.24169921875,2297.24169921875,2297.24169921875,24.6851749420166,2297.24169921875,2297.24169921875,2297.24169921875,2297.24169921875,2297.24169921875,2297.24169921875
2297.288818359375,21.99442481994629,2297.288818359375,2297.288818359375,2297.288818359375,2297.288818359375,2297.288818359375,24.629526138305664,2297.288818359375,2297.288818359375,2297.288818359375,2297.288818359375,2297.288818359375,2297.288818359375
2297.354248046875,22.012269973754883,2297.354248046875,2297.354248046875,2297.354248046875,2297.354248046875,2297.354248046875,24.732004165649414,2297.354248046875,2297.354248046875,2297.354248046875,2297.354248046875,2297.354248046875,2297.354248046875
2297.24853515625,21.86284828186035,2297.24853515625,2297.24853515625,2297.24853515625,2297.24853515625,2297.24853515625,24.587793350219727,2297.24853515625,2297.24853515625,2297.24853515625,2297.24853515625,2297.24853515625,2297.24853515625
2297.338134765625,21.963401794433594,2297.338134765625,2297.338134765625,2297.338134765625,2297.338134765625,2297.338134765625,24.588655471801758,2297.338134765625,2297.338134765625,2297.338134765625,2297.338134765625,2297.338134765625,2297.338134765625
2297.41845703125,21.98859977722168,2297.41845703125,2297.41845703125,2297.41845703125,2297.41845703125,2297.41845703125,24.700084686279297,2297.41845703125,2297.41845703125,2297.41845703125,2297.41845703125,2297.41845703125,2297.41845703125
2297.296630859375,21.934680938720703,2297.296630859375,2297.296630859375,2297.296630859375,2297.296630859375,2297.296630859375,24.617225646972656,2297.296630859375,2297.296630859375,2297.296630859375,2297.296630859375,2297.296630859375,2297.296630859375
2297.207763671875,21.83905792236328,2297.207763671875,2297.207763671875,2297.207763671875,2297.207763671875,2297.207763671875,24.587135314941406,2297.207763671875,2297.207763671875,2297.207763671875,2297.207763671875,2297.207763671875,2297.207763671875
2297.370849609375,21.97962188720703,2297.370849609375,2297.370849609375,2297.370849609375,2297.370849609375,2297.370849609375,24.632064819335938,2297.370849609375,2297.370849609375,2297.370849609375,2297.370849609375,2297.370849609375,2297.370849609375
2297.277587890625,21.875324249267578,2297.277587890625,2297.277587890625,2297.277587890625,2297.277587890625,2297.277587890625,24.691146850585938,2297.277587890625,2297.277587890625,2297.277587890625,2297.277587890625,2297.277587890625,2297.277587890625
2297.15087890625,21.83199691772461,2297.15087890625,2297.15087890625,2297.15087890625,2297.15087890625,2297.15087890625,24.523096084594727,2297.15087890625,2297.15087890625,2297.15087890625,2297.15087890625,2297.15087890625,2297.15087890625
2297.267578125,21.85236358642578,2297.267578125,2297.267578125,2297.267578125,2297.267578125,2297.267578125,24.709543228149414,2297.267578125,2297.267578125,2297.267578125,2297.267578125,2297.267578125,2297.267578125
2297.309326171875,21.793825149536133,2297.309326171875,2297.309326171875,2297.309326171875,2297.309326171875,2297.309326171875,24.630619049072266,2297.309326171875,2297.309326171875,2297.309326171875,2297.309326171875,2297.309326171875,2297.309326171875
2297.356689453125,22.010705947875977,2297.356689453125,2297.356689453125,2297.356689453125,2297.356689453125,2297.356689453125,24.614850997924805,2297.356689453125,2297.356689453125,2297.356689453125,2297.356689453125,2297.356689453125,2297.356689453125
2297.3681640625,21.932207107543945,2297.3681640625,2297.3681640625,2297.3681640625,2297.3681640625,2297.3681640625,24.78548812866211,2297.3681640625,2297.3681640625,2297.3681640625,2297.3681640625,2297.3681640625,2297.3681640625
2297.28662109375,21.850605010986328,2297.28662109375,2297.28662109375,2297.28662109375,2297.28662109375,2297.28662109375,24.525047302246094,2297.28662109375,2297.28662109375,2297.28662109375,2297.28662109375,2297.28662109375,2297.28662109375
