PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
-111.12513732910156,-92.49640655517578,-100.08589172363281,-108.8252944946289,-79.84727478027344,-111.3551254272461,-81.68714904785156,-101.00582885742188,108.25556945800781,43.30222702026367,43.30222702026367,-286.45831298828125
-115.9548110961914,-92.26642608642578,-92.49640655517578,-83.06705474853516,-96.63612365722656,-96.40614318847656,-95.02623748779297,-89.7365951538086,108.25556945800781,43.30222702026367,43.30222702026367,-287.736572265625
-102.845703125,-85.13690948486328,-78.00739288330078,-92.26642608642578,-86.28683471679688,-73.40770721435547,-79.15731811523438,-96.17615509033203,108.25556945800781,43.30222702026367,43.30222702026367,-286.5198974609375
-94.56626892089844,-101.6957778930664,-77.31744384765625,-101.23580932617188,-68.57804107666016,-83.52702331542969,-81.45716094970703,-83.52702331542969,108.25556945800781,43.30222702026367,43.30222702026367,-286.1040954589844
-79.3873062133789,-92.72639465332031,-89.7365951538086,-79.3873062133789,-89.7365951538086,-69.03800964355469,-73.17772674560547,-90.88652038574219,108.25556945800781,43.30222702026367,43.30222702026367,-285.7806701660156
-88.58667755126953,-79.3873062133789,-89.04664611816406,-88.356689453125,-82.3770980834961,-70.87788391113281,-86.7468032836914,-71.33785247802734,108.25556945800781,43.30222702026367,43.30222702026367,-286.98193359375
-71.79782104492188,-87.43675231933594,-85.13690948486328,-74.55763244628906,-93.87631225585938,-72.02780151367188,-70.41791534423828,-84.67694091796875,108.25556945800781,43.30222702026367,43.30222702026367,-285.8730773925781
-80.9971923828125,-90.65653228759766,-75.93753814697266,-94.79624938964844,-70.41791534423828,-84.44696044921875,-80.7672119140625,-69.49797821044922,108.25556945800781,43.30222702026367,43.30222702026367,-286.2580871582031
-82.1471176147461,-91.34648895263672,-66.96814727783203,-89.5066146850586,-84.90692901611328,-90.65653228759766,-75.47756958007812,-69.26799011230469,108.25556945800781,43.30222702026367,43.30222702026367,-284.9336242675781
-88.58667755126953,-90.19656372070312,-81.22718048095703,-96.17615509033203,-93.87631225585938,-75.70755004882812,-86.51681518554688,-86.05684661865234,108.25556945800781,43.30222702026367,43.30222702026367,-285.3956604003906
-86.05684661865234,-98.24601745605469,-88.81665802001953,-98.24601745605469,-87.66674041748047,-89.96658325195312,-79.84727478027344,-92.03643798828125,108.25556945800781,43.30222702026367,43.30222702026367,-286.4275207519531
-86.05684661865234,-113.88494873046875,-88.126708984375,-104.2256088256836,-99.16595458984375,-83.75700378417969,-98.01602935791016,-93.64633178710938,108.25556945800781,43.30222702026367,43.30222702026367,-286.6893310546875
-99.85590362548828,-95.7161865234375,-92.49640655517578,-105.60551452636719,-99.39593505859375,-83.06705474853516,-103.53565216064453,-94.3362808227539,108.25556945800781,43.30222702026367,43.30222702026367,-286.5045166015625
-103.30567169189453,-115.49484252929688,-92.72639465332031,-124.00425720214844,-91.80645751953125,-100.08589172363281,-94.79624938964844,-99.62592315673828,108.25556945800781,43.30222702026367,43.30222702026367,-286.1348876953125
-118.7146224975586,-97.78604888916016,-101.6957778930664,-111.12513732910156,-83.75700378417969,-103.07568359375,-88.58667755126953,-107.44538879394531,108.25556945800781,43.30222702026367,43.30222702026367,-287.0589294433594
-95.25621795654297,-110.66516876220703,-104.91556549072266,-115.03487396240234,-89.27662658691406,-96.63612365722656,-81.68714904785156,-121.93440246582031,108.25556945800781,43.30222702026367,43.30222702026367,-287.8443603515625
-112.50504302978516,-109.74523162841797,-105.14554595947266,-95.25621795654297,-111.12513732910156,-88.126708984375,-87.66674041748047,-105.83550262451172,108.25556945800781,43.30222702026367,43.30222702026367,-287.50555419921875
-115.26485443115234,-93.18636322021484,-96.63612365722656,-108.8252944946289,-83.98699188232422,-108.13534545898438,-77.54742431640625,-99.62592315673828,108.25556945800781,43.30222702026367,43.30222702026367,-285.9192810058594
-85.82686614990234,-103.07568359375,-91.11650085449219,-97.32608032226562,-85.59687805175781,-99.39593505859375,-75.2475814819336,-94.3362808227539,108.25556945800781,43.30222702026367,43.30222702026367,-285.61126708984375
-99.85590362548828,-86.28683471679688,-100.31587219238281,-83.52702331542969,-86.9767837524414,-98.01602935791016,-67.6581039428711,-105.60551452636719,108.25556945800781,43.30222702026367,43.30222702026367,-285.0722351074219
-74.09766387939453,-104.45559692382812,-75.93753814697266,-91.57646942138672,-87.20677185058594,-69.26799011230469,-92.95637512207031,-75.47756958007812,108.25556945800781,43.30222702026367,43.30222702026367,-286.75091552734375
-72.71775817871094,-87.43675231933594,-91.11650085449219,-76.62748718261719,-96.40614318847656,-73.86767578125,-73.17772674560547,-88.126708984375,108.25556945800781,43.30222702026367,43.30222702026367,-286.0116882324219
-63.74836730957031,-83.29703521728516,-85.13690948486328,-94.79624938964844,-64.66830444335938,-75.70755004882812,-72.02780151367188,-87.20677185058594,108.25556945800781,43.30222702026367,43.30222702026367,-285.90386962890625
-92.03643798828125,-83.98699188232422,-85.82686614990234,-80.07725524902344,-95.4862060546875,-69.26799011230469,-69.03800964355469,-86.05684661865234,108.25556945800781,43.30222702026367,43.30222702026367,-285.5496520996094
-78.23738098144531,-83.29703521728516,-93.18636322021484,-79.15731811523438,-77.77741241455078,-75.93753814697266,-84.44696044921875,-73.17772674560547,108.25556945800781,43.30222702026367,43.30222702026367,-285.41107177734375
-86.51681518554688,-95.7161865234375,-76.16751861572266,-109.9752197265625,-71.56783294677734,-83.75700378417969,-80.53722381591797,-71.79782104492188,108.25556945800781,43.30222702026367,43.30222702026367,-286.5815124511719
-89.04664611816406,-93.64633178710938,-94.3362808227539,-93.18636322021484,-87.43675231933594,-80.9971923828125,-76.85747528076172,-93.41634368896484,108.25556945800781,43.30222702026367,43.30222702026367,-285.9654846191406
-105.60551452636719,-96.17615509033203,-97.32608032226562,-100.77584075927734,-84.21697235107422,-89.04664611816406,-79.84727478027344,-97.78604888916016,108.25556945800781,43.30222702026367,43.30222702026367,-286.6123046875
-91.11650085449219,-103.07568359375,-94.1063003540039,-105.14554595947266,-83.75700378417969,-93.41634368896484,-94.56626892089844,-84.90692901611328,108.25556945800781,43.30222702026367,43.30222702026367,-286.4737243652344
-102.61571502685547,-101.00582885742188,-116.64476013183594,-104.91556549072266,-100.08589172363281,-86.51681518554688,-105.83550262451172,-98.24601745605469,108.25556945800781,43.30222702026367,43.30222702026367,-286.8279113769531
-119.17459106445312,-103.53565216064453,-103.30567169189453,-94.3362808227539,-115.72482299804688,-97.78604888916016,-92.03643798828125,-96.63612365722656,108.25556945800781,43.30222702026367,43.30222702026367,-287.0435485839844
-112.73503112792969,-93.87631225585938,-116.1847915649414,-99.16595458984375,-98.93596649169922,-109.74523162841797,-79.84727478027344,-121.01446533203125,108.25556945800781,43.30222702026367,43.30222702026367,-285.99627685546875
-95.02623748779297,-104.68557739257812,-100.77584075927734,-100.31587219238281,-96.63612365722656,-101.00582885742188,-96.63612365722656,-98.24601745605469,108.25556945800781,43.30222702026367,43.30222702026367,-287.4285583496094
-94.1063003540039,-103.76564025878906,-100.77584075927734,-92.49640655517578,-108.5953140258789,-97.0960922241211,-92.03643798828125,-103.99562072753906,108.25556945800781,43.30222702026367,43.30222702026367,-287.0435485839844
-91.11650085449219,-98.47599792480469,-93.87631225585938,-93.18636322021484,-86.9767837524414,-95.25621795654297,-91.34648895263672,-91.34648895263672,108.25556945800781,43.30222702026367,43.30222702026367,-287.1051330566406
-93.18636322021484,-98.01602935791016,-81.91712951660156,-95.25621795654297,-87.66674041748047,-96.17615509033203,-66.73816680908203,-105.14554595947266,108.25556945800781,43.30222702026367,43.30222702026367,-286.9049377441406
-90.42655181884766,-78.00739288330078,-84.44696044921875,-86.05684661865234,-96.40614318847656,-79.3873062133789,-76.39750671386719,-78.69734954833984,108.25556945800781,43.30222702026367,43.30222702026367,-285.8114929199219
-82.60708618164062,-106.06548309326172,-74.09766387939453,-87.66674041748047,-78.00739288330078,-92.26642608642578,-60.528587341308594,-81.68714904785156,108.25556945800781,43.30222702026367,43.30222702026367,-286.1502990722656
-84.21697235107422,-92.95637512207031,-75.70755004882812,-97.0960922241211,-61.90849304199219,-76.62748718261719,-74.78761291503906,-65.81822967529297,108.25556945800781,43.30222702026367,43.30222702026367,-286.4737243652344
-85.82686614990234,-93.87631225585938,-70.18792724609375,-103.07568359375,-71.10786437988281,-76.39750671386719,-70.64789581298828,-73.6376953125,108.25556945800781,43.30222702026367,43.30222702026367,-285.42645263671875
-83.75700378417969,-87.43675231933594,-84.67694091796875,-85.82686614990234,-80.30724334716797,-69.49797821044922,-72.71775817871094,-73.17772674560547,108.25556945800781,43.30222702026367,43.30222702026367,-286.08868408203125
-89.27662658691406,-75.2475814819336,-98.70598602294922,-80.07725524902344,-78.69734954833984,-83.06705474853516,-61.90849304199219,-84.44696044921875,108.25556945800781,43.30222702026367,43.30222702026367,-286.07330322265625
-89.7365951538086,-92.72639465332031,-89.7365951538086,-84.44696044921875,-97.78604888916016,-75.0176010131836,-76.39750671386719,-78.69734954833984,108.25556945800781,43.30222702026367,43.30222702026367,-285.7190856933594
-80.30724334716797,-87.20677185058594,-91.57646942138672,-97.78604888916016,-105.83550262451172,-92.49640655517578,-86.9767837524414,-74.09766387939453,108.25556945800781,43.30222702026367,43.30222702026367,-286.8741149902344
-99.62592315673828,-113.65496826171875,-88.356689453125,-101.23580932617188,-73.17772674560547,-79.3873062133789,-84.44696044921875,-92.03643798828125,108.25556945800781,43.30222702026367,43.30222702026367,-286.7663269042969
-81.22718048095703,-89.04664611816406,-97.32608032226562,-102.38573455810547,-114.34491729736328,-103.53565216064453,-99.39593505859375,-99.85590362548828,108.25556945800781,43.30222702026367,43.30222702026367,-286.55072021484375
-121.24444580078125,-106.06548309326172,-103.99562072753906,-96.17615509033203,-80.53722381591797,-98.24601745605469,-79.84727478027344,-108.36532592773438,108.25556945800781,43.30222702026367,43.30222702026367,-287.21295166015625
-103.30567169189453,-110.2052001953125,-86.9767837524414,-98.01602935791016,-99.62592315673828,-103.99562072753906,-112.04507446289062,-107.21540832519531,108.25556945800781,43.30222702026367,43.30222702026367,-287.2899475097656
-83.06705474853516,-104.68557739257812,-113.19499969482422,-110.2052001953125,-103.30567169189453,-118.02466583251953,-99.16595458984375,-102.61571502685547,108.25556945800781,43.30222702026367,43.30222702026367,-286.3351135253906
-119.17459106445312,-109.9752197265625,-111.12513732910156,-113.42498016357422,-86.28683471679688,-95.4862060546875,-74.32764434814453,-106.52545166015625,108.25556945800781,43.30222702026367,43.30222702026367,-286.18109130859375
-82.3770980834961,-99.16595458984375,-81.91712951660156,-98.47599792480469,-97.0960922241211,-93.87631225585938,-100.54586029052734,-99.85590362548828,108.25556945800781,43.30222702026367,43.30222702026367,-287.50555419921875
-82.1471176147461,-85.13690948486328,-89.7365951538086,-86.9767837524414,-95.94617462158203,-95.4862060546875,-86.28683471679688,-110.89515686035156,108.25556945800781,43.30222702026367,43.30222702026367,-285.8730773925781
-107.44538879394531,-95.25621795654297,-93.41634368896484,-87.66674041748047,-96.63612365722656,-73.86767578125,-75.70755004882812,-92.26642608642578,108.25556945800781,43.30222702026367,43.30222702026367,-286.9203186035156
-87.89672088623047,-95.4862060546875,-82.3770980834961,-109.51525115966797,-72.02780151367188,-80.07725524902344,-71.56783294677734,-91.34648895263672,108.25556945800781,43.30222702026367,43.30222702026367,-285.1646423339844
-79.15731811523438,-108.8252944946289,-78.23738098144531,-90.88652038574219,-85.36689758300781,-65.1282730102539,-85.59687805175781,-76.16751861572266,108.25556945800781,43.30222702026367,43.30222702026367,-287.0127258300781
-96.63612365722656,-78.69734954833984,-84.44696044921875,-93.41634368896484,-62.598445892333984,-92.03643798828125,-64.8982925415039,-84.44696044921875,108.25556945800781,43.30222702026367,43.30222702026367,-285.4880676269531
-89.7365951538086,-97.32608032226562,-66.73816680908203,-101.4657974243164,-69.72795867919922,-78.23738098144531,-73.86767578125,-73.86767578125,108.25556945800781,43.30222702026367,43.30222702026367,-285.5804748535156
-87.43675231933594,-93.64633178710938,-68.80802154541016,-94.3362808227539,-77.54742431640625,-82.60708618164062,-67.6581039428711,-86.9767837524414,108.25556945800781,43.30222702026367,43.30222702026367,-284.4408264160156
-74.32764434814453,-86.05684661865234,-80.07725524902344,-106.29547119140625,-83.52702331542969,-90.42655181884766,-62.13847732543945,-77.77741241455078,108.25556945800781,43.30222702026367,43.30222702026367,-284.67181396484375
-82.1471176147461,-92.95637512207031,-86.9767837524414,-94.1063003540039,-81.91712951660156,-87.43675231933594,-79.84727478027344,-89.04664611816406,108.25556945800781,43.30222702026367,43.30222702026367,-286.1348876953125
