cRIO Slot,Device Type,,,,,,,,,,,,,,,,
1,9476,,,,,,,,,,,,,,,,
2,9203,,,,,,,,,,,,,,,,
3,9203,,,,,,,,,,,,,,,,
4,9264,,,,,,,,,,,,,,,,
5,9205,,,,,,,,,,,,,,,,
6,9205,,,,,,,,,,,,Scal Offset * ((MaxVal - MinVal)/(MaxOut-MinOut)) * (raw_val - min_out) + Lin Offset,,,,
7,9205,,,,,,,,,,,,,,,,
8,9213,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
P&ID Name,DAQ Input,NI Channel,Device,V/C,MinOut,MaxOut,Terminal Config,"MinVal (Pressure, force, etc.)",MaxVal,Units,Lin Offset,Scal Offset,,,,,
PT_GO2_03_1,AI,NI9203_1_00,MMSG1.5k,C,4,20,,0,1500,PoundsPerSquareInch,375,1,EREG PT,,,,
,,,,,,,,,,,,,,,,,
TC_LO2_03,TC 1,NI9213_1_15,,V,,,,,,,,,,,,,
TC_GO2_04_1,TC 2,NI9213_1_00,,V,,,,,,,,,,,,,
TC_GO2_04_2,TC 3,NI9213_1_01,,V,,,,,,,,,,,,,
TC_FU_01,TC 4,NI9213_1_02,,V,,,,,,,,,,,,,
TC_GO2_05,TC 5,NI9213_1_03,,V,,,,,,,,,,,,,
TC_H2_03,TC 6,NI9213_1_04,,V,,,,,,,,,,,,,
TC_FU_02,TC 7,NI9213_1_05,,V,,,,,,,,,,,,,
TC_LO2_04,TC 8,NI9213_1_06,,V,,,,,,,,,,,,,
TC_GG_01,TC 9,NI9213_1_07,,V,,,,,,,,,,,,,
TC_FU_04,TC 10,NI9213_1_08,,V,,,,,,,,,,,,,
TC_FU_05,TC 11,NI9213_1_09,,V,,,,,,,,,,,,,
TC_N2_12_1,TC 12,NI9213_1_10,,V,,,,,,,,,,,,,
TC_LO2_05,TC 13,NI9213_1_11,,V,,,,,,,,,,,,,
TC_LO2_07,TC 14,NI9213_1_12,,V,,,,,,,,,,,,,
,TC 15,NI9213_1_13,NC,,,,,,,,,,,,,,
,TC 16,NI9213_1_14,NC,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
ER_N2_07,AO 1,NI9264_1_00,E-reg,V,0,10,,0,1500,PoundsPerSquareInch,0,1,"1 24+, 2 signal, 3 Command, 4 24-",,,,
NC_ER,AO 2,NI9264_1_01,E-reg,V,0,10,,0,1500,PoundsPerSquareInch,0,1,"1 24+, 2 signal, 3 Command, 4 24-",,,,
Accel,AO 3,NI9264_1_03,Accelerometer,V,0,5,,0,5,Volts,0,1,"1 5+, 2 sig, 3 5-, 4 5-,",,,,
,,,,,,,,,,,,,,,,,
PV_N2_17,DO 1 ,NI9476_1_24,US Solid,"1 24 pos, 2 24 neg",,,,,,,,,"inverted wiring, fix line",,,,
PV_N2_18,DO 2,NI9476_1_17,US Solid,"1 24 pos, 2 24 neg",,,,,,,,,"inverted wiring, fix line",,,,
PV_N2_19,DO 3,NI9476_1_23,US Solid,"1 24 pos, 2 24 neg",,,,,,,,,"inverted wiring, fix line",,,,
PV_LO2_03,DO 4,NI9476_1_13,US Solid,"1 24 pos, 2 24 neg",,,,,,,,,"inverted wiring, fix line",,,,
PV_LO2_05,DO 5,NI9476_1_03,US Solid,"1 24 pos, 2 24 neg",,,,,,,,,"inverted wiring, fix line",,,,
PV_LO2_01,DO 6,NI9476_1_14,US Solid,"1 24 pos, 2 24 neg",,,,,,,,,"inverted wiring, fix line",,,,
PV_GO2_04,DO 7,NI9476_1_16,US Solid,"1 24 pos, 2 24 neg",,,,,,,,,"inverted wiring, fix line",,,,
PV_FU_02,DO 8,NI9476_1_19,US Solid,"1 24 pos, 2 24 neg",,,,,,,,,"inverted wiring, fix line",,,,
PV_FU_04,DO 9,NI9476_1_12,US Solid,"1 24 pos, 2 24 neg",,,,,,,,,"inverted wiring, fix line",,,,
