PT_N2_01,PT_N2_03,PT_N2_04,PT_N2_23,PT_GO2_01,PT_GO2_02,PT_H2_01,PT_H2_02,PT_GO2_04_2,PT_FU_05,PT_FU_06,PT_GO2_03_2
-71.79782104492188,-78.23738098144531,-75.70755004882812,-68.57804107666016,-76.62748718261719,-69.26799011230469,-66.2781982421875,-76.62748718261719,108.25556945800781,43.30222702026367,43.30222702026367,-285.6420593261719
-79.3873062133789,-69.49797821044922,-73.6376953125,-78.46736145019531,-69.49797821044922,-58.68871307373047,-73.6376953125,-60.29860305786133,108.25556945800781,43.30222702026367,43.30222702026367,-285.0106506347656
-64.20833587646484,-78.00739288330078,-71.10786437988281,-58.918697357177734,-74.78761291503906,-53.85904312133789,-55.46893310546875,-73.40770721435547,108.25556945800781,43.30222702026367,43.30222702026367,-284.6102294921875
-74.78761291503906,-57.99876022338867,-57.768775939941406,-71.56783294677734,-67.19813537597656,-60.528587341308594,-40.51995086669922,-63.058414459228516,108.25556945800781,43.30222702026367,43.30222702026367,-284.70263671875
-64.43832397460938,-81.45716094970703,-52.70912170410156,-66.5081787109375,-58.4587287902832,-70.87788391113281,-38.680076599121094,-58.4587287902832,108.25556945800781,43.30222702026367,43.30222702026367,-284.6410217285156
-70.87788391113281,-56.15888595581055,-79.84727478027344,-58.4587287902832,-57.768775939941406,-68.80802154541016,-41.209903717041016,-74.55763244628906,108.25556945800781,43.30222702026367,43.30222702026367,-284.1636047363281
-62.36846160888672,-72.94773864746094,-69.95794677734375,-61.90849304199219,-67.19813537597656,-51.559200286865234,-54.54899597167969,-70.64789581298828,108.25556945800781,43.30222702026367,43.30222702026367,-284.3175964355469
-73.86767578125,-67.42811584472656,-66.96814727783203,-67.8880844116211,-64.8982925415039,-57.07882308959961,-56.848838806152344,-71.56783294677734,108.25556945800781,43.30222702026367,43.30222702026367,-284.67181396484375
-53.169090270996094,-72.02780151367188,-78.46736145019531,-62.598445892333984,-85.82686614990234,-61.90849304199219,-59.8386344909668,-75.70755004882812,108.25556945800781,43.30222702026367,43.30222702026367,-284.7796325683594
-73.40770721435547,-70.41791534423828,-85.13690948486328,-69.26799011230469,-71.10786437988281,-80.7672119140625,-51.32921600341797,-90.88652038574219,108.25556945800781,43.30222702026367,43.30222702026367,-284.3022155761719
-67.8880844116211,-73.86767578125,-77.31744384765625,-88.126708984375,-57.07882308959961,-76.62748718261719,-73.17772674560547,-87.43675231933594,108.25556945800781,43.30222702026367,43.30222702026367,-285.9346923828125
-65.35826110839844,-79.84727478027344,-58.68871307373047,-66.04821014404297,-73.6376953125,-58.918697357177734,-55.00896453857422,-77.77741241455078,108.25556945800781,43.30222702026367,43.30222702026367,-284.517822265625
-98.93596649169922,-91.80645751953125,-84.21697235107422,-101.4657974243164,-87.66674041748047,-85.82686614990234,-84.21697235107422,-87.66674041748047,108.25556945800781,43.30222702026367,43.30222702026367,-286.3042907714844
-102.38573455810547,-83.98699188232422,-87.43675231933594,-72.71775817871094,-94.1063003540039,-85.13690948486328,-78.69734954833984,-68.11807250976562,108.25556945800781,43.30222702026367,43.30222702026367,-284.85662841796875
-80.07725524902344,-90.65653228759766,-63.97835159301758,-77.54742431640625,-76.39750671386719,-79.84727478027344,-91.57646942138672,-90.88652038574219,108.25556945800781,43.30222702026367,43.30222702026367,-285.6882629394531
