PT_FU_02,PT_N2_05,PT_GO2_04_1,PT_N2_19,PT_FU_01_1,PT_LO2_05,PT_N2_06,PT_GO2_03_1
23.810651779174805,-1250.83056640625,-375.032470703125,-75.00148010253906,-499.9269104003906,-374.91162109375,-374.9083251953125,-375.009033203125
1.7483152151107788,-1249.7021484375,-374.9401550292969,-75.00148010253906,-500.3370361328125,-375.2500915527344,-374.6928405761719,-374.7015075683594
-6.74429988861084,-1249.599609375,-374.9401550292969,-75.00763702392578,-500.0909729003906,-375.0654602050781,-374.8775329589844,-374.947509765625
7.871613502502441,-1249.7021484375,-375.032470703125,-75.03839111328125,-500.3370361328125,-375.0654602050781,-374.5081481933594,-374.76300048828125
7.317747592926025,-1249.7021484375,-375.0632629394531,-75.04454040527344,-500.3370361328125,-374.91162109375,-374.5081481933594,-374.82452392578125
-20.314022064208984,-1250.5228271484375,-375.3094787597656,-75.05068969726562,-500.1319885253906,-375.0039367675781,-374.9390869140625,-374.8552551269531
20.672077178955078,-1250.317626953125,-374.9401550292969,-74.98918151855469,-499.9269104003906,-375.12701416015625,-375.0622253417969,-374.978271484375
0.7328938245773315,-1250.317626953125,-374.90936279296875,-75.00148010253906,-500.3370361328125,-375.2808532714844,-374.6928405761719,-374.7015075683594
11.779447555541992,-1250.6253662109375,-375.3094787597656,-75.01993560791016,-499.68084716796875,-374.72698974609375,-375.0622253417969,-375.3165283203125
3.3483729362487793,-1249.599609375,-375.0940246582031,-75.03839111328125,-500.3370361328125,-374.880859375,-374.5081481933594,-374.82452392578125
5.256134510040283,-1250.1124267578125,-375.0940246582031,-75.00148010253906,-499.9269104003906,-374.8500671386719,-375.0622253417969,-375.19354248046875
15.748821258544922,-1250.6253662109375,-375.3094787597656,-75.00148010253906,-500.0909729003906,-374.880859375,-374.9083251953125,-375.0397644042969
-21.575605392456055,-1251.4459228515625,-375.15557861328125,-74.9707260131836,-500.0089416503906,-375.2500915527344,-375.00067138671875,-374.82452392578125
-20.28325080871582,-1251.2408447265625,-375.0940246582031,-74.9707260131836,-499.9269104003906,-375.18853759765625,-374.9698791503906,-374.9167785644531
-1.5133413076400757,-1250.215087890625,-375.0940246582031,-75.03224182128906,-500.0499572753906,-374.9423828125,-374.8775329589844,-374.978271484375
28.30312156677246,-1250.6253662109375,-375.3402404785156,-75.06299591064453,-500.5010986328125,-375.4039306640625,-375.6163024902344,-375.4395446777344
2.3944923877716064,-1249.7021484375,-374.90936279296875,-75.01378631591797,-500.2550354003906,-375.3116149902344,-375.0929870605469,-374.7015075683594
-14.867670059204102,-1248.984130859375,-375.12481689453125,-75.05068969726562,-500.0909729003906,-374.97314453125,-374.9390869140625,-375.0397644042969
-1.851815104484558,-1249.4969482421875,-375.2786865234375,-75.01378631591797,-500.0499572753906,-374.97314453125,-374.8775329589844,-375.009033203125
1.2252193689346313,-1250.0098876953125,-374.90936279296875,-74.99533081054688,-500.0499572753906,-375.2193298339844,-375.4623718261719,-375.2857971191406
-8.282816886901855,-1251.2408447265625,-375.2171325683594,-74.99533081054688,-499.8858947753906,-374.8193054199219,-374.81597900390625,-375.0705261230469
-8.375127792358398,-1249.8046875,-374.9401550292969,-75.00763702392578,-500.0909729003906,-375.0039367675781,-374.84674072265625,-374.947509765625
3.7176172733306885,-1250.0098876953125,-374.9709167480469,-74.99533081054688,-499.9679260253906,-375.2808532714844,-375.2776794433594,-374.8860168457031
-4.805768013000488,-1249.9073486328125,-374.9401550292969,-74.97687530517578,-500.0909729003906,-375.0346984863281,-374.9083251953125,-374.978271484375
-12.252191543579102,-1249.8046875,-374.9401550292969,-75.00148010253906,-500.0089416503906,-375.0039367675781,-374.81597900390625,-375.0705261230469
-12.221421241760254,-1249.4969482421875,-374.9401550292969,-75.01378631591797,-500.1319885253906,-375.0039367675781,-374.84674072265625,-375.0397644042969
21.902891159057617,-1250.5228271484375,-375.032470703125,-74.98918151855469,-500.0089416503906,-374.91162109375,-375.1545715332031,-375.1012878417969
-0.8056233525276184,-1250.215087890625,-375.15557861328125,-75.01378631591797,-499.8858947753906,-374.9423828125,-374.81597900390625,-374.9167785644531
-0.7133123278617859,-1249.8046875,-374.9709167480469,-75.02608489990234,-500.0499572753906,-374.91162109375,-374.8775329589844,-375.0397644042969
-12.682975769042969,-1249.7021484375,-374.90936279296875,-75.00148010253906,-500.1319885253906,-375.0039367675781,-374.8775329589844,-375.1012878417969
-13.26761245727539,-1248.984130859375,-374.90936279296875,-75.04454040527344,-500.5421142578125,-375.0039367675781,-374.9698791503906,-375.009033203125
-14.990752220153809,-1249.7021484375,-374.9709167480469,-75.00148010253906,-500.1730041503906,-375.09625244140625,-374.9083251953125,-374.9167785644531
23.441408157348633,-1250.7279052734375,-375.032470703125,-74.99533081054688,-499.9269104003906,-375.0346984863281,-375.03143310546875,-375.009033203125
-12.006028175354004,-1249.8046875,-374.9401550292969,-74.98918151855469,-500.1730041503906,-375.0039367675781,-374.8775329589844,-374.8860168457031
-14.836899757385254,-1249.4969482421875,-375.001708984375,-75.03224182128906,-500.4600830078125,-375.3424072265625,-375.00067138671875,-374.8860168457031
6.671570301055908,-1250.0098876953125,-375.2171325683594,-75.05684661865234,-500.0909729003906,-374.63470458984375,-374.6004943847656,-375.0705261230469
8.917805671691895,-1250.420166015625,-375.2479248046875,-75.05068969726562,-499.8858947753906,-374.63470458984375,-374.9083251953125,-375.3165283203125
5.471526622772217,-1249.7021484375,-375.0940246582031,-75.05068969726562,-500.0909729003906,-374.63470458984375,-374.6928405761719,-375.2242736816406
-8.682831764221191,-1250.1124267578125,-374.90936279296875,-74.98918151855469,-500.1319885253906,-375.09625244140625,-374.9083251953125,-374.9167785644531
5.963852405548096,-1250.7279052734375,-374.8170166015625,-74.9522705078125,-499.8858947753906,-375.3731689453125,-375.2469177246094,-375.009033203125
6.794651508331299,-1249.599609375,-374.8170166015625,-74.97687530517578,-499.8448791503906,-374.8500671386719,-374.75439453125,-374.8860168457031
12.610246658325195,-1249.599609375,-374.8785705566406,-74.99533081054688,-500.6241455078125,-375.18853759765625,-374.3850402832031,-374.8552551269531
12.825638771057129,-1250.317626953125,-374.8170166015625,-74.98302459716797,-500.0909729003906,-375.18853759765625,-374.9083251953125,-374.8860168457031
-4.682686805725098,-1249.9073486328125,-374.9709167480469,-75.00148010253906,-500.0089416503906,-375.0039367675781,-375.00067138671875,-375.0705261230469
9.040886878967285,-1250.93310546875,-375.1863708496094,-74.95841979980469,-499.63983154296875,-375.09625244140625,-375.5239562988281,-375.009033203125
-0.3132978677749634,-1250.215087890625,-374.90936279296875,-74.98918151855469,-500.1319885253906,-375.3116149902344,-375.123779296875,-374.82452392578125
25.995346069335938,-1251.651123046875,-375.12481689453125,-75.01378631591797,-499.8448791503906,-374.97314453125,-375.00067138671875,-375.1012878417969
2.240640640258789,-1249.8046875,-374.9401550292969,-75.02608489990234,-500.4190673828125,-375.15777587890625,-374.7236328125,-374.7015075683594
21.225942611694336,-1250.215087890625,-375.032470703125,-75.00148010253906,-499.9269104003906,-375.0039367675781,-375.1853332519531,-375.0705261230469
10.087078094482422,-1249.7021484375,-374.8478088378906,-75.00148010253906,-500.0089416503906,-375.0654602050781,-375.40081787109375,-375.4395446777344
-9.97518539428711,-1248.984130859375,-374.7247009277344,-74.97687530517578,-500.2960205078125,-375.2193298339844,-375.03143310546875,-374.978271484375
7.533139705657959,-1250.215087890625,-375.0632629394531,-75.00148010253906,-500.0089416503906,-374.9423828125,-374.9083251953125,-374.947509765625
1.625233769416809,-1250.317626953125,-375.0632629394531,-74.99533081054688,-500.0499572753906,-375.0654602050781,-374.9390869140625,-374.9167785644531
