PT_N2_12_2,PT_N2_08,PT_LO2_07,PT_N2_15,PT_N2_16,PT_N2_17,PT_FU_01_2,PT_GO2_05
-374.8795471191406,-1250.1978759765625,-375.1816101074219,-74.99962615966797,-74.95008850097656,-74.97998046875,-500.2372741699219,-375.17950439453125
-375.06390380859375,-1250.1978759765625,-375.08935546875,-75.01192474365234,-75.01158905029297,-74.9922866821289,-499.9091491699219,-374.9334411621094
-374.9717102050781,-1249.5830078125,-374.96636962890625,-75.01192474365234,-75.03003692626953,-74.97998046875,-499.6220397949219,-374.8719482421875
-375.06390380859375,-1249.992919921875,-374.93560791015625,-74.98118591308594,-75.00543975830078,-75.02920532226562,-500.1962585449219,-374.7796936035156
-374.8795471191406,-1249.685546875,-374.8741149902344,-74.9873275756836,-75.0423355102539,-75.04151153564453,-500.3603210449219,-375.2717590332031
-375.2482604980469,-1250.095458984375,-375.0278625488281,-74.99347686767578,-74.9931411743164,-75.00459289550781,-499.9091491699219,-374.8719482421875
-375.06390380859375,-1249.7879638671875,-374.8741149902344,-74.99347686767578,-75.01158905029297,-75.03535461425781,-500.0732116699219,-374.7181701660156
-375.06390380859375,-1250.6077880859375,-375.1816101074219,-74.98118591308594,-74.95623779296875,-74.98612976074219,-500.1552429199219,-375.333251953125
-374.94097900390625,-1249.992919921875,-375.1508483886719,-75.00577545166016,-74.9808349609375,-74.9676742553711,-499.9091491699219,-374.8719482421875
-375.06390380859375,-1249.7879638671875,-374.93560791015625,-74.9873275756836,-74.97468566894531,-74.98612976074219,-499.9091491699219,-374.9642028808594
-374.84881591796875,-1249.7879638671875,-375.3660888671875,-75.00577545166016,-74.95623779296875,-74.94921112060547,-499.8271179199219,-375.3025207519531
-374.9717102050781,-1250.1978759765625,-374.9048767089844,-74.97503662109375,-74.9808349609375,-74.97998046875,-499.8271179199219,-374.7796936035156
-374.94097900390625,-1249.8905029296875,-374.9971008300781,-75.01192474365234,-75.0423355102539,-75.04766082763672,-500.4013366699219,-375.17950439453125
-374.84881591796875,-1249.992919921875,-375.1200866699219,-75.0303726196289,-74.97468566894531,-74.96151733398438,-499.8681335449219,-375.2102355957031
-374.7566223144531,-1250.1978759765625,-375.2738342285156,-74.99962615966797,-74.9992904663086,-74.9922866821289,-499.9091491699219,-375.0257263183594
-375.27899169921875,-1250.7103271484375,-375.1200866699219,-74.99962615966797,-74.98699188232422,-74.96151733398438,-499.5810546875,-374.7489318847656
-375.00244140625,-1249.8905029296875,-374.9971008300781,-74.9873275756836,-74.98699188232422,-74.98612976074219,-500.0732116699219,-374.9949645996094
-374.94097900390625,-1249.7879638671875,-375.05859375,-75.0303726196289,-75.01158905029297,-74.97382354736328,-499.5400390625,-374.7796936035156
-375.3097229003906,-1250.6077880859375,-374.96636962890625,-74.99962615966797,-75.00543975830078,-74.9922866821289,-499.7861022949219,-374.9027099609375
