TC_LO2_03,TC_GO2_04_1,TC_GO2_04_2,TC_FU_01,TC_GO2_05,TC_H2_03,TC_FU_02,TC_LO2_04,TC_GG_01,TC_FU_04,TC_FU_05,TC_N2_12_1,TC_LO2_05,TC_LO2_07
2296.63427734375,21.929933547973633,2296.63427734375,2296.63427734375,2296.63427734375,2296.63427734375,2296.63427734375,24.549497604370117,2296.63427734375,2296.63427734375,2296.63427734375,2296.63427734375,2296.63427734375,2296.63427734375
2296.54638671875,21.82122802734375,2296.54638671875,2296.54638671875,2296.54638671875,2296.54638671875,2296.54638671875,24.459508895874023,2296.54638671875,2296.54638671875,2296.54638671875,2296.54638671875,2296.54638671875,2296.54638671875
2296.50634765625,21.82254409790039,2296.50634765625,2296.50634765625,2296.50634765625,2296.50634765625,2296.50634765625,24.514591217041016,2296.50634765625,2296.50634765625,2296.50634765625,2296.50634765625,2296.50634765625,2296.50634765625
2296.5029296875,21.76874542236328,2296.5029296875,2296.5029296875,2296.5029296875,2296.5029296875,2296.5029296875,24.49876594543457,2296.5029296875,2296.5029296875,2296.5029296875,2296.5029296875,2296.5029296875,2296.5029296875
2296.517822265625,21.852027893066406,2296.517822265625,2296.517822265625,2296.517822265625,2296.517822265625,2296.517822265625,24.436006546020508,2296.517822265625,2296.517822265625,2296.517822265625,2296.517822265625,2296.517822265625,2296.517822265625
2296.650634765625,21.86574935913086,2296.650634765625,2296.650634765625,2296.650634765625,2296.650634765625,2296.650634765625,24.527923583984375,2296.650634765625,2296.650634765625,2296.650634765625,2296.650634765625,2296.650634765625,2296.650634765625
2296.56591796875,21.92170524597168,2296.56591796875,2296.56591796875,2296.56591796875,2296.56591796875,2296.56591796875,24.590667724609375,2296.56591796875,2296.56591796875,2296.56591796875,2296.56591796875,2296.56591796875,2296.56591796875
2296.510986328125,21.898338317871094,2296.510986328125,2296.510986328125,2296.510986328125,2296.510986328125,2296.510986328125,24.46190071105957,2296.510986328125,2296.510986328125,2296.510986328125,2296.510986328125,2296.510986328125,2296.510986328125
2296.58251953125,21.911617279052734,2296.58251953125,2296.58251953125,2296.58251953125,2296.58251953125,2296.58251953125,24.54483985900879,2296.58251953125,2296.58251953125,2296.58251953125,2296.58251953125,2296.58251953125,2296.58251953125
2296.432861328125,21.66001319885254,2296.432861328125,2296.432861328125,2296.432861328125,2296.432861328125,2296.432861328125,24.31690788269043,2296.432861328125,2296.432861328125,2296.432861328125,2296.432861328125,2296.432861328125,2296.432861328125
2296.712158203125,21.911380767822266,2296.712158203125,2296.712158203125,2296.712158203125,2296.712158203125,2296.712158203125,24.497299194335938,2296.712158203125,2296.712158203125,2296.712158203125,2296.712158203125,2296.712158203125,2296.712158203125
2296.4794921875,21.83507537841797,2296.4794921875,2296.4794921875,2296.4794921875,2296.4794921875,2296.4794921875,24.36855125427246,2296.4794921875,2296.4794921875,2296.4794921875,2296.4794921875,2296.4794921875,2296.4794921875
2296.537109375,21.859949111938477,2296.537109375,2296.537109375,2296.537109375,2296.537109375,2296.537109375,24.505754470825195,2296.537109375,2296.537109375,2296.537109375,2296.537109375,2296.537109375,2296.537109375
2296.562744140625,21.82022476196289,2296.562744140625,2296.562744140625,2296.562744140625,2296.562744140625,2296.562744140625,24.464740753173828,2296.562744140625,2296.562744140625,2296.562744140625,2296.562744140625,2296.562744140625,2296.562744140625
