,P&ID Name,Model,Datasheet,Schematic,Voltage Inp,Current Req,Notes,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,Serial Numnbers,DAQ Connector,Hardware Connector,Connector Reasoning,Connector Docs,Has Connector?,Is Wire and Connector Done?,Can it be 8ft?,,
PTs,,,,,,PT Type,,,,,,,,,,,,,,,,,
,PT-FU-06,PCB Electronics 1501B03FJ1KPSIS,https://www.pcb.com/contentstore/docs/PCB_Corporate/Pressure/products/specsheets/1501B03FJ1KPSIS_A.pdf,,,,,,,,,,,,GX16 3 pin,3-Pin MIL-C-5015,,https://docs.google.com/document/d/1GOf2bHHmoBEpxhfS2Xp8Dw3FsZ7gfGJ9B6Jzwa2YpqU/edit?tab=t.0,,,,,
,PT-LO2-06,Wika 4338597,,,,,,,,,,,,,GX14 2 pin,"GX14 2 pin
",,https://docs.google.com/document/d/13NxFeVHqr1aEfoY9CyN3L7fhLZi_YdCY-gYsOGuhibU/edit?tab=t.0,,,,,
,PT-LO2-05,MMSG2.5KV5P4J1T4A5,,,,,,,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,1FrVB_ogRXbbFFOdp5zTJy6vPmmVjVqZ0mo,,,,done,
,PT-GG-01,Druck UNIK 5000 PMP 50A6-TA-A3-CA-H0-PV,https://dam.bakerhughes.com/m/ab766f7142a241d/original/Druck-UNIK5000-Pressure-Sensing-Platform-Datasheet-EN.pdf,,12v,Voltage,Outputs 0 - 10 V,,,,,,,,"GX16 4 pin
",Demountable MIL-C-26482 (6-pin Shell Size 10,,https://docs.google.com/document/d/1h9aPLRNinvWrhvxl_MabbhVBTz8ddsUK6YjT69Pp8B4/edit?tab=t.0,,,,,
,PT-LO2-07,GT2250-1500G-125,,,,,,,,,,,,,GX16 4 pin,MSW06E10-6S-SR (Amphenol 6),,https://docs.google.com/document/d/10D2nmjNjJwDtHsNET4rOjTjIkmjUk1XgI2HBMECbnAE/edit?tab=t.0,,,,,
,PT-TI-01,Druck UNIK 5000 PMP 50A6-TA-A3-CA-H0-PV,https://dam.bakerhughes.com/m/ab766f7142a241d/original/Druck-UNIK5000-Pressure-Sensing-Platform-Datasheet-EN.pdf,,12v,Voltage,Outputs 0 - 10 V,,,,,,,,"GX16 4 pin
",Demountable MIL-C-26482 (6-pin Shell Size 10,,https://docs.google.com/document/d/1h9aPLRNinvWrhvxl_MabbhVBTz8ddsUK6YjT69Pp8B4/edit?tab=t.0,,,,,
,PT-FU-04,Druck UNIK 5000 PMP 50A6-TA-A3-CA-H0-PV,https://dam.bakerhughes.com/m/ab766f7142a241d/original/Druck-UNIK5000-Pressure-Sensing-Platform-Datasheet-EN.pdf,,12v,Voltage,Outputs 0 - 10 V,,,,,,,,"GX16 4 pin
",Demountable MIL-C-26482 (6-pin Shell Size 10,,https://docs.google.com/document/d/1h9aPLRNinvWrhvxl_MabbhVBTz8ddsUK6YjT69Pp8B4/edit?tab=t.0,,,,,
,PT-LO2-04,Druck UNIK 5000 PMP 50A6-TA-A3-CA-H0-PV,https://dam.bakerhughes.com/m/ab766f7142a241d/original/Druck-UNIK5000-Pressure-Sensing-Platform-Datasheet-EN.pdf,,12v,Voltage,Outputs 0 - 10 V,,,,,,,,"GX16 4 pin
",Demountable MIL-C-26482 (6-pin Shell Size 10,,https://docs.google.com/document/d/1h9aPLRNinvWrhvxl_MabbhVBTz8ddsUK6YjT69Pp8B4/edit?tab=t.0,,,,,
,PT-GO2-04-2,,,,,,,,,,,,,,,,,,,,,,
,PT-N2-23,Ashcroft KM41 ,,,,,,,,,,,,,,,,,,,,,
Solenoids,,,,,,,,,,,,,,,,,,,,,,,
,SN-N2-12,Peter Paul H22G9DADP,https://peterpaul.com/valves/2-way-normally-closed/series-20-model-h22,,24v,400 mA,,N/A,,,,,,,GX16 3 pin,Unkown 2 pin,,,Not needed,,,,
,SN-N2-11,Peter Paul EH2267DCCH,https://www.smcpneumatics.com/pdfs/peter-paul-catalog.pdf,https://www.smcpneumatics.com/pdfs/peter-paul-catalog.pdf,12v,800 mA,Page 31 of the catalog under Explosion Proof Series 20 Model H22,QS,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/1MPFeqYnSjGgFchclbSqUeKWgdQixKdwIbil6Iw2C9Q4/edit?tab=t.0,Not needed,,,,
,SN-N2-10,Peter Paul EH2267DCCH,https://www.smcpneumatics.com/pdfs/peter-paul-catalog.pdf,https://www.smcpneumatics.com/pdfs/peter-paul-catalog.pdf,12v,800 mA,Page 31 of the catalog under Explosion Proof Series 20 Model H23,ZS,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/1MPFeqYnSjGgFchclbSqUeKWgdQixKdwIbil6Iw2C9Q4/edit?tab=t.0,Not needed,,,,
,SN-G02-05,Marotta PLV405X,https://marotta.com/wp-content/uploads/2023/10/PLV405.pdf,PLV405x Schematic.pdf,24v,1.5 A (@ 28 VDC),,M1077,,,,,,,GX16 3 pin,D38999/26FA98SN (Amphenol 3 pin),,https://docs.google.com/document/d/1HA0bslMoJa8S1EQ2JXYOthcGqINgd_jJQs1BSGaLV7k/edit?usp=sharing,Y,,,,
,SN-H2-03,Marotta PLV405X,https://marotta.com/wp-content/uploads/2024/08/Datachart-2024_1-scaled.jpg,MV100X Schematic.pdf,potentially 24v ,~1 A (check),24v is guessed from power save voltage range of 7-10 VDC and 14V Pull-in voltage,M1010,,,,,,,GX16 3 pin,D38999/26FA98SN (Amphenol 3 pin),,https://docs.google.com/document/d/1bBGB1UUTe_51mh58j_mL086ZYSJLS8GDHUcws_DhkJs/edit?tab=t.0,Y,,,,
,SN-CO2-01,ASCO 8223A11 80034,Nope!!!!,,120 VAC,150 mA (check),"All data taken from the solenoid's body itself. 1/2"" pipe, 3/8"" orifice, 120 VAC at 60 HZ (double check), 16.7 Watts",S52252,,,,,,,GX16 3 pin,Unknown 2 pin,,,Not needed,,,,
,SN-N2-13,ASCO 8223A11 80034,~,,120 VAC,150 mA (check),,S48670,,,,,,,GX16 3 pin,Unknown 2 pin,,,Not needed,,,,
,SN-PV-N2-08,Marotta MV510X,https://drive.google.com/drive/folders/1LQMpmh4QlpzSLMbbMaqvNP6aaVOAsFX0,,24VDC,1 A,Taken from the solenoid itself,193,,,,,,,GX16 3 pin,D38999/26FA98SN (Amphenol 3 pin),,,Y,,,,
,SN-PV-N2-09,Marotta MV510X,https://drive.google.com/drive/folders/1LQMpmh4QlpzSLMbbMaqvNP6aaVOAsFX0,,18-32 VDC,1 A (@ 24 VDC),Nominal votage is likely 24V,N/A,,,,,,,GX16 3 pin,D38999/26FA98SN (Amphenol 3 pin),,https://docs.google.com/document/d/1QFGGN_eJ8t_SB9H-rAaEoFx0RefwjDcTNqAZrzILWR0/edit?tab=t.0,,,,done,
,SN-PV-N2-17,US Solids,https://ussolid.com/products/u-s-solid-1-4-dc-24-v-pneumatic-electric-solenoid-valve-3-way-2-position-npt-html,,24v,200mA,,N/A,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/18qBXs5NIsst0oyhosCQnBAbAH6RAk74xPnzqe-0k6vY/edit?tab=t.0,Y,,,done,
,SN-PV-N2-18,US Solids,https://ussolid.com/products/u-s-solid-1-4-dc-24-v-pneumatic-electric-solenoid-valve-3-way-2-position-npt-html,,24v,200mA,,N/A,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/18qBXs5NIsst0oyhosCQnBAbAH6RAk74xPnzqe-0k6vY/edit?tab=t.0,Y,,,done,
,SN-PV-N2-19,US Solids,https://ussolid.com/products/u-s-solid-1-4-dc-24-v-pneumatic-electric-solenoid-valve-3-way-2-position-npt-html,,24v,200mA,,N/A,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/18qBXs5NIsst0oyhosCQnBAbAH6RAk74xPnzqe-0k6vY/edit?tab=t.0,Y,,,done,
,SN-PV-N2-20,US Solids,https://ussolid.com/products/u-s-solid-1-4-dc-24-v-pneumatic-electric-solenoid-valve-3-way-2-position-npt-html,,24v,200mA,,N/A,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/18qBXs5NIsst0oyhosCQnBAbAH6RAk74xPnzqe-0k6vY/edit?tab=t.0,Y,,,done,
,SN-PV-LO2-03,US Solids,https://ussolid.com/products/u-s-solid-1-4-dc-24-v-pneumatic-electric-solenoid-valve-3-way-2-position-npt-html,,24v,200mA,,N/A,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/18qBXs5NIsst0oyhosCQnBAbAH6RAk74xPnzqe-0k6vY/edit?tab=t.0,Y,,,done,
,SN-PV-LO2-05,Magnatrol E131LR64YZ,https://www.magnatrol.com/catalogs/3020_completecat.pdf,,120VAC,542mA,"Page 15 E131LR64. Type LR (Normally open), ",,,,,,,,GX16 3 pin,Unknown 2 pin,,,Not needed,,,,
,SN-PV-LO2-01,US Solids,https://ussolid.com/products/u-s-solid-1-4-dc-24-v-pneumatic-electric-solenoid-valve-3-way-2-position-npt-html,,24v,200mA,,N/A,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/18qBXs5NIsst0oyhosCQnBAbAH6RAk74xPnzqe-0k6vY/edit?tab=t.0,Y,,,done,
,SN-PV-G02-04,US Solids,https://ussolid.com/products/u-s-solid-1-4-dc-24-v-pneumatic-electric-solenoid-valve-3-way-2-position-npt-html,,24v,200mA,,N/A,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/18qBXs5NIsst0oyhosCQnBAbAH6RAk74xPnzqe-0k6vY/edit?tab=t.0,Y,,,done,
,SN-PV-FU-02,US Solids,https://ussolid.com/products/u-s-solid-1-4-dc-24-v-pneumatic-electric-solenoid-valve-3-way-2-position-npt-html,,24v,200mA,,N/A,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/18qBXs5NIsst0oyhosCQnBAbAH6RAk74xPnzqe-0k6vY/edit?tab=t.0,Y,,,done,
,SN-PV-FU-03,US Solids,https://ussolid.com/products/u-s-solid-1-4-dc-24-v-pneumatic-electric-solenoid-valve-3-way-2-position-npt-html,,24v,200mA,,N/A,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/18qBXs5NIsst0oyhosCQnBAbAH6RAk74xPnzqe-0k6vY/edit?tab=t.0,Y,,,done,
,SN-PV-LO2-04,US Solids,https://ussolid.com/products/u-s-solid-1-4-dc-24-v-pneumatic-electric-solenoid-valve-3-way-2-position-npt-html,,24v,200mA,,N/A,,,,,,,GX16 3 pin,Unknown 3 pin,,https://docs.google.com/document/d/18qBXs5NIsst0oyhosCQnBAbAH6RAk74xPnzqe-0k6vY/edit?tab=t.0,Y,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Load Cells,,,,,,Output Type,,,,,,,,,,,,,,,,,
,LC-01,Sensotec 41/0572-01,https://prod-edam.honeywell.com/content/dam/honeywell-edam/sps/siot/ja/products/test-and-measurement-products/load-cells/low-profile/model-41-series/documents/sps-siot-t-m-model-41-precision-load-cell-product-sheet-008609-3-en-ciid-149301.pdf,,12v,Voltage,x mV/V,,,,,,,,GX16 4 pin,Amphenol 6 pin,,https://docs.google.com/document/d/1H9vmUnjWBYP8KDv8O1pc-oh1ozaPrRpV6sSbd_58o20/edit?tab=t.0,,Yes(8ft),,,
,LC-02,Sensotec 41/0572-02,https://prod-edam.honeywell.com/content/dam/honeywell-edam/sps/siot/ja/products/test-and-measurement-products/load-cells/low-profile/model-41-series/documents/sps-siot-t-m-model-41-precision-load-cell-product-sheet-008609-3-en-ciid-149301.pdf,,12v,Voltage,x mV/V,,,,,,,,GX16 4 pin,Amphenol 6 pin,,https://docs.google.com/document/d/1H9vmUnjWBYP8KDv8O1pc-oh1ozaPrRpV6sSbd_58o20/edit?tab=t.0,,Yes(8ft),,,
,LC-03,Sensotec 41/0572-03,https://prod-edam.honeywell.com/content/dam/honeywell-edam/sps/siot/ja/products/test-and-measurement-products/load-cells/low-profile/model-41-series/documents/sps-siot-t-m-model-41-precision-load-cell-product-sheet-008609-3-en-ciid-149301.pdf,,12v,Voltage,x mV/V,,,,,,,,GX16 4 pin,Amphenol 6 pin,,https://docs.google.com/document/d/1H9vmUnjWBYP8KDv8O1pc-oh1ozaPrRpV6sSbd_58o20/edit?tab=t.0,,Yes(8ft),,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Thermocouples,,,,,,Output Type,,,,,,,,,,,,,,,,,
,TC-LO2-03,Omega KQXL-PQ9D6-85KDFA,https://assets.omega.com/pdf/test-and-measurement-equipment/temperature/sensors/thermocouple-probes/KQXL_NQXL.pdf,,0v,Voltage,,,,,,,,,Unknown,Unknown,,,,,,,
,TC-FU-01,Omega KQXL-PQ9D6-85KDFA,https://assets.omega.com/pdf/test-and-measurement-equipment/temperature/sensors/thermocouple-probes/KQXL_NQXL.pdf,,0v,Voltage,,,,,,,,,Unknown,Unknown,,,,,,,
,TC-GO2-05,Omega KQXL-PQ9D6-85KDFA,https://assets.omega.com/pdf/test-and-measurement-equipment/temperature/sensors/thermocouple-probes/KQXL_NQXL.pdf,,0v,Voltage,,,,,,,,,Unknown,Unknown,,,,,,,
